"Term","Course ID","Offer Nbr","Class Nbr","Section","Enrl Stat","Class Stat","Assoc","Session","Auto Enrol","Auto Enr 2","Class Type","Cap Enrl","Tot Enrl","Comb Sects ID","Combined Sect Cap Enrl","Combined Sect Tot Enrl"
"3710","108151","1","12270","SG09","Open","Active","10","1","","","Non-Enrol","30","29","","",""
"3710","106184","1","18713","LE07","Open","Active","16","FY1","","","Non-Enrol","90","79","","",""
"3720","008146","1","23541","TU06","Closed","Active","10","FY2","","","Non-Enrol","12","12","","",""
"3720","108968","1","22042","WR01","Open","Active","10","1","","","Non-Enrol","50","36","","",""
"3710","104454","1","13942","PR03","Open","Active","10","1","","","Non-Enrol","40","7","","",""
"3720","107592","1","22773","TU05","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3720","108234","1","21477","WR21","Open","Active","10","1","","","Non-Enrol","10","0","","",""
"3710","104405","2","11639","PR01","Closed","Active","10","1","","","Non-Enrol","2","2","","",""
"3720","108379","1","20224","PR02","Open","Active","10","1","","","Non-Enrol","33","31","","",""
"3720","105066","1","24011","SG06","Open","Active","10","1","","","Non-Enrol","20","16","","",""
"3710","013241","1","10010","RE01","Closed","Active","10","FY1","","","Non-Enrol","14","14","","",""
"3710","104439","1","13646","PR08","Open","Active","10","1","","","Non-Enrol","6","0","","",""
"3720","001956","2","22787","WR05","Closed","Active","10","1","","","Non-Enrol","25","25","","",""
"3720","108282","1","22037","TU01","Open","Active","10","1","","","Non-Enrol","10","1","","",""
"3720","108650","1","23664","PR04","Open","Active","10","1","","","Non-Enrol","50","13","","",""
"3710","001956","2","12890","WR02","Open","Active","10","1","","","Non-Enrol","37","35","","",""
"3710","104416","1","12011","TU06","Open","Active","10","1","","","Non-Enrol","20","19","","",""
"3710","108233","1","10668","WR20","Open","Active","10","1","","","Non-Enrol","10","4","","",""
"3744","105743","1","42030","TU01","Open","Active","10","1","","","Non-Enrol","10","7","","",""
"3720","108669","1","21954","LE01","Open","Active","10","1","","","Non-Enrol","156","153","","",""
"3720","108236","1","25167","WR10","Open","Active","10","1","","","Non-Enrol","20","0","","",""
"3710","108368","1","14388","WR02","Open","Active","11","1","","","Non-Enrol","30","8","","",""
"3720","001956","2","22786","WR04","Closed","Active","10","1","","","Non-Enrol","25","25","","",""
"3720","101888","1","20529","LA02","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3720","108236","1","24766","WR16","Open","Active","10","1","","","Non-Enrol","20","0","","",""
"3710","014242","1","10884","WR01","Closed","Tentative","10","1","","","Non-Enrol","15","0","","",""
"3720","001956","2","22784","WR02","Closed","Active","10","1","","","Non-Enrol","25","26","","",""
"3720","102351","1","20805","TU17","Closed","Active","10","1","","","Non-Enrol","20","20","","",""
"3710","001956","2","12893","WR05","Open","Active","10","1","","","Non-Enrol","29","26","","",""
"3710","001956","2","12891","WR03","Open","Active","10","1","","","Non-Enrol","30","29","","",""
"3710","001956","2","12892","WR04","Closed","Active","10","1","","","Non-Enrol","27","27","","",""
"3720","001956","2","22788","WR06","Closed","Active","10","1","","","Non-Enrol","25","25","","",""
"3744","108864","1","42191","TU01","Open","Active","10","1","","","Non-Enrol","25","15","","",""
"3720","001956","2","22785","WR03","Closed","Active","10","1","","","Non-Enrol","24","24","","",""
"3710","103570","1","14680","PR02","Closed","Active","10","1","","","Non-Enrol","10","10","","",""
"3710","106178","1","14763","TU03","Open","Active","10","1","","","Non-Enrol","10","8","","",""
"3710","108233","1","11743","RS03","Open","Active","10","1","","","Enrolment","20","2","","",""
"3710","108759","1","16444","THE","Open","Active","1","1","","","Enrolment","100","1","","",""
"3710","001956","2","15000","LE01","Open","Active","10","1","","","Enrolment","200","181","","",""
"3720","108940","1","20402","TU05","Closed","Stop Enrl","10","1","","","Enrolment","20","0","","",""
"3720","006362","1","20899","TU13","Open","Active","10","1","","","Enrolment","30","19","","",""
"3705","107980","1","92209","01NT","Open","Active","1","1","","","Enrolment","35","1","","",""
"3739","108539","1","36030","SE01","Closed","Active","10","1","","","Enrolment","35","35","","",""
"3710","106109","1","12687","LE01","Open","Active","10","1","PR01","","Enrolment","40","35","","",""
"3710","101515","1","15585","01HO","Open","Active","1","FY1","","","Enrolment","38","30","","",""
"3746","107716","1","44003","SE01","Open","Active","10","1","","","Enrolment","20","6","","",""
"3720","108522","1","24340","TU07","Closed","Active","10","1","","","Enrolment","25","25","","",""
"3710","106573","1","11904","TU04","Open","Active","10","FY1","","","Enrolment","25","22","","",""
"3720","108521","1","28896","THE","Open","Active","1","RTX","","","Enrolment","100","1","","",""
"3720","003253","1","23532","TU15","Closed","Active","10","FY2","LE01","","Enrolment","9","9","","",""
"3710","102303","1","14041","LA04","Open","Active","10","1","","","Enrolment","74","32","","",""
"3710","016142","1","13157","TU13","Closed","Active","10","FY1","LE01","","Enrolment","12","12","","",""
"3710","108736","1","10132","LE01","Open","Active","10","1","","","Enrolment","20","0","","",""
"3705","106407","1","92194","01NT","Open","Active","1","1","","","Enrolment","15","10","","",""
"3710","103495","1","15670","01NT","Open","Active","1","1","","","Enrolment","25","16","","",""
"3748","107365","1","46048","01NA","Open","Active","1","HY2","","","Enrolment","40","11","","",""
"3744","105755","1","42083","LE01","Open","Active","10","1","TU01","","Enrolment","10","2","","",""
