"Eff Date","Course ID","Status","Descr","Long Title","Min Units","Max Units","Prgrss Unt","Grading","Last Crse","Enrl Unt Calc","Descr"
"01/01/2017","001956","A","Computer Systems UG","Computer Systems","3.00","3.00","3.00","M10","N","1","Information storage representation, Memory organisation and hierarchy, Processor fundamentals, assembler programming, assembler operation, subroutine calling mechanisms, linking/loading, Input-output and device controllers requirements for supporting an operating system and device drivers."
"01/01/2017","003253","A","M Prof & Pers Dev II Pt 2","Medical Professional & Personal Development II Pt2","6.00","6.00","3.00","GS8","Y","2","Through this stream students will continue to develop competency in communication with patients, patients' relatives, peers and other health professionals. Alongside communication competency; students are assisted to develop strategies and skills for self care and for addressing attitudinal, ethical and professional aspects of life as a medical practitioner. Skills in information technology, decision making, information management, analysis of statistics and evidence based medicine are developed. Knowledge of the broader context of health care is encouraged through an understanding of public health, epidemiology and population health issues."
"01/01/2017","004439","A","Language & Ethnography of Comm","Language and Ethnography of Communication","3.00","3.00","3.00","M10","N","1","This course introduces students to Language and Ethnography of Communication, a field of study which ties language and communication to the context in which the language is being used. The basis of an Ethnography of Communication is that what language is cannot be separated from how and why it is used. Accordingly, the focus is on an investigation of how language varies according to context. A key figure in the field is Dell Hymes, the American linguist who coined the term and who proposed the core elements of the approach in the mid C20th. Language and Ethnography of Communication is located within the broad field of sociolinguistics and related traditions are also introduced. Of particular relevance is functional linguistics which models the relationship between context and language and proposes language variation as linked either to the users of language or to the use of language. 

At a practical level the course will introduce ethnographic work which has been conducted on specific topics and in particular geographic locations, while at the same time conducting ethnographic observations within a chosen community or site of interaction, for example a coffee shop, a supermarket, a gym or an office. The course is activity based and students are encouraged to engage in collecting and analysing data related to authentic language use in the broad community. The variations of language use that are found in relation to age, gender, ethnicity, geographical location and social structure are some of the areas for investigation in the course."
"01/01/2017","006362","A","Commercial Law I","Commercial Law I","3.00","3.00","3.00","M10","N","1","This course introduces students to the key features, institutions and principles of the Australian legal system, including the roles of the Constitution, parliaments and the courts. The course also exposes students to the basic rules of commercial law including: the formation, performance and termination of a contract; consumer guarantees; the tort of negligence; liability for unsafe products, misleading conduct and abuse of power."
"01/01/2017","008146","A","M Prof & Pers Dev III Pt 2","Medical Professional&Personal Development III Pt 2","6.00","6.00","3.00","GS8","Y","2","Through this stream students will develop competency in issues relating to public health, particularly population health, medical systems, ethics and epidemiology. Supporting skills in information technology, decision making, information management, organisational factors, workflow, patient safety, evidence based medicine and epidemiology are developed."
"01/01/2017","013241","A","Scientific Basis Med II Part 1","Scientific Basis of Medicine II Part 1","0.00","0.00","3.00","NOG","N","2","Through the study of clinical cases students will further develop their knowledge and understanding of the basic scientific principles that underpin the practice of medicine. The Case Based Learning Program emphasises the need for students to be able to explain the mechanisms responsible for the production of symptoms and signs of diseases and to be able to relate these to pathophysiology and related underlying scientific disciplines. Student learning in this program is supported by relevant resource sessions and lectures."
"01/01/2017","014242","A","French ISA: Lang & Culture","French ISA: Language and Culture","3.00","3.00","3.00","M10","N","1","This course is designed for students who have studied French at high school to Year 12 level (or equivalent). It reviews and extends the language skills already acquired and develops reading and research skills in the area of French culture. This year, the culture component of the course is 'La France contemporaine' (contemporary French society and culture). See French Department handbook for more details."
"01/01/2017","016142","A","M Prof & Pers Dev I Pt 1","Medical Professional & Personal Development I Pt 1","0.00","0.00","3.00","NOG","N","2","Through this stream students will develop competency in communication with patients, patients' relatives, peers and other health professionals. Alongside communication competency; students are assisted to develop strategies and skills for self care and for addressing attitudinal, ethical and professional aspects of life as a medical practitioner. Skills in information technology, decision making, information management, analysis of statistics and evidence based medicine are developed. Knowledge of the broader context of health care is encouraged through an understanding of public health, epidemiology and population health issues."
"01/01/2017","100573","A","RSCH General Practice","Research in General Practice","0.00","0.00","0.00","NOG","N","1",""
"01/01/2017","101515","A","Oral Hlth Elec IIIOH Part 1","Oral Health Elective IIIOH Part 1","0.00","0.00","2.00","NOG","N","2","This course aims to provide the student with the necessary research skills to undertake a major study and the opportunity to focus on a major research assignment to enhance their role as an oral health practitioner. Topics include research methodology and a major assignment."
