Eff Date,Course ID,Offer Nbr,Primary Component,Enrol Component,Final Exam,Sect Size,Contact,S+Templates Reqd,Component
01/01/2017,1064,1,SEM,,N,50,8,2,SEM
01/01/2017,1064,2,SEM,,N,50,8,2,SEM
01/01/2017,1068,1,SEM,SEM,N,20,8,12,SEM
01/01/2017,1068,2,SEM,,N,20,8,12,SEM
01/01/2017,1106,1,UNS,UNS,N,215,0,1,UNS
01/01/2017,1110,1,LEC,,Y,10,1,2,LEC
01/01/2017,1123,1,SEM,,N,25,8,2,SEM
01/01/2017,1123,2,SEM,,N,25,8,2,SEM
01/01/2017,1123,3,SEM,SEM,N,25,8,2,SEM
01/01/2017,1153,1,LEC,,Y,20,1.5,1,LEC
01/01/2017,1175,1,LEC,,Y,20,2,2,LEC
01/01/2017,1239,1,SEM,IND,N,35,0,1,IND
01/01/2017,1239,1,SEM,IND,N,35,3,5,SEM
01/01/2017,1277,1,PFM,,Y,20,4,1,PFM
01/01/2017,1313,1,IND,IND,N,30,0,1,IND
01/01/2017,1346,1,THE,,N,40,1,1,THE
01/01/2017,1371,1,LEC,TUT,N,20,1,1,TUT
01/01/2017,1371,1,LEC,TUT,Y,40,1,4,LEC
01/01/2017,1427,1,LEC,,Y,55,4,4,PRA
01/01/2017,1427,1,LEC,,Y,110,1,2,LEC
01/01/2017,1430,1,LEC,,Y,10,1,1,LEC
01/01/2017,1458,1,LEC,,N,65,4,1,PRA
01/01/2017,1458,1,LEC,,N,65,8,1,FLD
01/01/2017,1458,1,LEC,,Y,65,2,1,LEC
01/01/2017,1462,1,LEC,,N,25,1,1,TUT
01/01/2017,1462,1,LEC,,Y,25,1,1,LEC
01/01/2017,1496,1,LEC,WRK,N,15,2,1,WRK
01/01/2017,1496,1,LEC,WRK,Y,100,1,1,LEC
01/01/2017,1538,1,LEC,,Y,5,1,3,LEC
01/01/2017,1552,1,LEC,,N,25,1,1,TUT
01/01/2017,1552,1,LEC,,Y,25,1,1,LEC
01/01/2017,1596,1,DST,DST,Y,50,0,1,DST
01/01/2017,1625,1,LEC,,N,35,1,1,TUT
01/01/2017,1625,1,LEC,,N,35,1,1,WRK
01/01/2017,1625,1,LEC,,Y,35,1,3,LEC
01/01/2017,1636,1,LEC,LEC,Y,35,3,3,LEC
01/01/2017,1636,2,LEC,,Y,35,3,3,LEC
01/01/2017,1676,1,PJT,,Y,10,0,1,PJT
01/01/2017,1679,1,LEC,,Y,10,0,1,LEC
01/01/2017,1718,1,WRK,WRK,N,25,2,2,WRK
01/01/2017,1724,1,LEC,,N,25,1,1,TUT
01/01/2017,1724,1,LEC,,Y,25,2,1,LEC
01/01/2017,1733,1,LEC,,Y,50,1,3,LEC
01/01/2017,1806,1,SEM,,Y,25,2,1,SEM
01/01/2017,1809,1,LEC,TUT,N,25,1,1,SGD
01/01/2017,1809,1,LEC,TUT,N,25,1,5,TUT
01/01/2017,1809,1,LEC,TUT,Y,300,1,2,LEC
01/01/2017,1809,3,LEC,TUT,N,25,1,1,SGD
01/01/2017,1809,3,LEC,TUT,N,25,1,5,TUT
01/01/2017,1809,3,LEC,TUT,Y,300,1,2,LEC
